id,title,category,research_status,download_status,asset_routes,report_citations,download_or_landing_urls,dois,notes
fateman72,Essays in Algebraic Simplification,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:fateman72; report-2:fatemanthesis; report-3:fateman,https://web.archive.org/web/20051217213927id_/http://www.lcs.mit.edu/publications/pubs/pdf/MIT-LCS-TR-095.pdf,,"1972 refers to revised MIT technical report MIT-LCS-TR-095. The reports call it an MIT PhD thesis; that institutional attribution has not been accepted as independently verified metadata.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
caviness76,Simplification of radical expressions,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:caviness76; report-2:cavinessfateman; report-3:caviness,https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bfht,Decreasing the nesting depth of expressions involving square roots,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bfht; report-2:bfht; report-3:bfht,"https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf
https://researcher.watson.ibm.com/researcher/files/us-fagin/symb85.pdf",10.1016/S0747-7171(85)80013-4,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
zippel85,Simplification of expressions involving radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:zippel85; report-2:zippel; report-3:zippel85,,10.1016/S0747-7171(85)80014-6,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
horng90,Simplifying nested radicals and solving polynomials by radicals in minimum depth,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:horng90; report-2:horng1990; report-3:hornghuang,,10.1090/S0025-5718-99-01060-1,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
horngThesis,Simplifying Nested Radicals and Solving Polynomials by Nested Radicals in Minimum Depth,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:horngThesis; report-3:horngthesis,,10.5555/142931,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cotner,The Nesting Depths of Radical Expression,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cotner; report-2:cotner; report-3:cotner,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer91,Computing sums of radicals in polynomial time,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bloemer91; report-2:blomer1991; report-3:blomer91,https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf,10.1109/SFCS.1991.185434,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer92,How to denest Ramanujan's nested radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bloemer92; report-2:blomer1992; report-3:blomer92,https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf,10.1109/SFCS.1992.267807,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer98,A probabilistic zero-test for expressions involving roots of rational numbers,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:bloemer98; report-2:blomerzero; report-3:blomer98,,10.1007/3-540-68530-8_13,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
honsbeek05,Radical Extensions and Galois Groups,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:honsbeek05; report-2:honsbeek2005; report-3:honsbeek,https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
besicovitch,On the linear independence of fractional powers of integers,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:besicovitch; report-2:besicovitch; report-3:besicovitch,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
siegel,Algebraische Abhängigkeit von Wurzeln,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:siegel; report-2:siegel; report-3:siegel,https://eudml.org/doc/205133,10.4064/aa-21-1-59-64,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landaufactor,Factoring polynomials over algebraic number fields,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:landaufactor,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
lenstra06,Entangled Radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:lenstra06,https://www.math.leidenuniv.nl/~hwl/papers/rad.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cohen,A Course in Computational Algebraic Number Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cohen; report-2:cohen; report-3:cohen,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cox,Galois Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cox; report-2:cox; report-3:cox,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
