record_id,title,asset_id,kind,version,evidence_level,default_enabled,urls_or_resolver_page,resolver,note
fateman72,Essays in Algebraic Simplification,pdf,pdf,cited-work,candidate_unverified,False,https://web.archive.org/web/20051217213927id_/http://www.lcs.mit.edu/publications/pubs/pdf/MIT-LCS-TR-095.pdf,{},Archived MIT technical report; raw-capture route derived from the catalog link. Retrieval not confirmed.
caviness76,Simplification of radical expressions,pdf,pdf,cited-work,candidate_unverified,False,https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,{},Author URL supplied in reports; browser could not confirm the bytes.
zippelthesis,Simplification of Radicals with Applications to Solving Polynomial Equations,pdf-from-landing,pdf,cited-work,download_link_listed,True,https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c,"{""type"": ""landing"", ""url"": ""https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c"", ""wanted"": ""pdf""}",Official MIT record advertises 04731425-MIT.pdf. Resolver needs a citation_pdf_url or direct PDF link; JavaScript-only pages can require manual retrieval.
zippel1977,Radical simplification made easy,nasa-pdf,pdf,cited-work,download_link_listed,True,https://ntrs.nasa.gov/citations/19770021838,"{""type"": ""nasa"", ""id"": ""19770021838""}",Resolve the actual download path from NASA metadata; do not assume a filename.
bfht,Decreasing the nesting depth of expressions involving square roots,pdf,pdf,cited-work,candidate_unverified,False,"https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf
https://researcher.watson.ibm.com/researcher/files/us-fagin/symb85.pdf",{},Author URL supplied in reports; not independently opened.
landauMiller,Solvability by radicals is in polynomial time,pdf-journal-1985,pdf,journal-1985,browser_fulltext,True,https://www.cs.cmu.edu/~glmiller/Publications/Papers/LaMi85.pdf,{},"Author-hosted PDF, 30 PDF pages; title and authors checked."
landau92,Simplification of nested radicals,pdf-author-upload-preprint,pdf,author-upload-preprint,search_indexed_pdf,True,https://www.researchgate.net/profile/Susan-Landau-2/publication/2629046_Simplification_of_Nested_Radicals/links/02bfe510fbd90dfb8f000000/Simplification-of-Nested-Radicals.pdf,{},Public author-uploaded preprint; publisher version may require payment.
landauNote,A note on ``Zippel Denesting'',pdf-umass-1990-120,pdf,umass-1990-120,search_indexed_pdf,True,https://web.cs.umass.edu/publication/docs/1990/UM-CS-1990-120.pdf,{},"University technical-report version, not a claim of identical journal typesetting."
landau94,How to tangle with a nested radical,pdf-umass-1991-076,pdf,umass-1991-076,search_indexed_pdf,True,https://web.cs.umass.edu/publication/docs/1991/UM-CS-1991-076.pdf,{},University report related to the 1994 published article; version/pagination can differ.
landau98,Square root of 2 plus square root of 3: four different views,pdf-author-pdf,pdf,author-pdf,search_indexed_pdf,True,https://privacyink.org/pdf/Sqrt2%2BSqrt3.pdf,{},Author-hosted PDF.
horng99,Solving polynomials by radicals with roots of unity in minimum depth,pdf-from-landing,pdf,cited-work,download_link_listed,True,https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth,"{""type"": ""landing"", ""url"": ""https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth"", ""wanted"": ""pdf""}",Full-text listing found; bytes not verified.
horng99,Solving polynomials by radicals with roots of unity in minimum depth,optional-publisher-candidate,pdf,cited-work,candidate_unverified,False,https://www.ams.org/journals/mcom/1999-68-226/S0025-5718-99-01060-1/S0025-5718-99-01060-1.pdf,{},"AMS URL constructed from DOI and journal metadata, NOT verified."
bloemer91,Computing sums of radicals in polynomial time,optional-publisher-candidate,pdf,cited-work,candidate_unverified,False,https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf,{},Publisher PDF indexed by search; may require a subscription.
bloemer92,How to denest Ramanujan's nested radicals,optional-publisher-candidate,pdf,cited-work,candidate_unverified,False,https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf,{},Publisher PDF indexed by search; may require a subscription.
bloemer93,Simplifying Expressions Involving Radicals,pdf-thesis-1993,pdf,thesis-1993,browser_fulltext,True,https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf,{},"University-hosted thesis; 195 PDF pages, title checked."
bloemer00,Denesting by bounded degree radicals,pdf-from-landing,pdf,cited-work,download_link_listed,True,https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals,"{""type"": ""landing"", ""url"": ""https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals"", ""wanted"": ""pdf""}",Public full-text listing for the ESA 1997 conference version; journal version may differ.
jeffrey,Simplifying square roots of square roots by denesting,pdf-public-mirror,pdf,public-mirror,browser_fulltext,True,https://cybertester.com/data/denest.pdf,{},"Public secondary mirror; title checked, 13 PDF pages. Not an author/publisher site."
honsbeek99,Denesting certain nested radicals of depth two,pdf-repository,pdf,repository,search_indexed_pdf,True,https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf,{},Radboud institutional repository PDF.
honsbeek05,Radical Extensions and Galois Groups,pdf,pdf,cited-work,candidate_unverified,False,https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,{},University URL supplied in reports; bytes not verified.
mordell,On the linear independence of algebraic numbers,pdf-journal-1953,pdf,journal-1953,search_indexed_fulltext,True,https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-3/issue-3/On-the-linear-independence-of-algebraic-numbers/pjm/1103051334.pdf,{},Project Euclid journal archive; HTTP byte retrieval not tested successfully.
siegel,Algebraische Abhängigkeit von Wurzeln,pdf-from-landing,pdf,cited-work,candidate_unverified,False,https://eudml.org/doc/205133,"{""type"": ""landing"", ""url"": ""https://eudml.org/doc/205133"", ""wanted"": ""pdf""}",EuDML metadata record located; direct full text not confirmed.
kneser,Lineare Abhängigkeit von Wurzeln,pdf-journal-1975,pdf,journal-1975,search_indexed_pdf,True,https://matwbn.icm.edu.pl/ksiazki/aa/aa26/aa26313.pdf,{},Polish mathematical archive; German article.
lll,Factoring polynomials with rational coefficients,pdf-journal-1982,pdf,journal-1982,search_indexed_pdf,True,https://infoscience.epfl.ch/bitstreams/4fa72d55-df13-42ed-9c2d-bb1cdfdd8801/download,{},"EPFL repository; Lenstra, Lenstra and Lovasz, not a different similarly titled factoring paper."
kluners,On computing subfields. A detailed description of the algorithm,pdf-journal-1998,pdf,journal-1998,browser_fulltext,True,https://www.numdam.org/item/JTNB_1998__10_2_243_0.pdf,{},"NUMDAM full text, 30 PDF pages."
lenstra06,Entangled Radicals,pdf,pdf,cited-work,candidate_unverified,False,https://www.math.leidenuniv.nl/~hwl/papers/rad.pdf,{},Author URL supplied in reports; bytes not verified.
perucca,Linear relations among radicals,pdf,pdf,arxiv-2511.02498v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2511.02498v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
perucca,Linear relations among radicals,tex-source,source,arxiv-2511.02498v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/2511.02498v1
https://arxiv.org/e-print/2511.02498v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
ramanujan,Collected Papers of Srinivasa Ramanujan,archive-pdf,pdf,1927-scan,download_link_listed,True,https://archive.org/details/pli.kerala.rare.28155,"{""type"": ""internet_archive"", ""id"": ""pli.kerala.rare.28155""}","1927 collection, Kerala State Library scan, PDF download listed. This is not a controlled-lending modern edition."
berndt98,Radicals and units in Ramanujan's work,pdf-journal-1998,pdf,journal-1998,download_link_listed,True,https://matwbn.icm.edu.pl/ksiazki/aa/aa87/aa8725.pdf,{},Archival PDF linked by OEIS; file bytes not retrieved here.
shanks,Incredible identities,pdf-journal-1974-part-a,pdf,journal-1974-part-a,browser_fulltext,True,https://www.fq.math.ca/Scanned/12-3/shanks-a.pdf,{},"First part (one scanned page). Both parts are needed, not alternative mirrors."
shanks,Incredible identities,pdf-journal-1974-part-b,pdf,journal-1974-part-b,browser_fulltext,True,https://www.fq.math.ca/Scanned/12-3/shanks-b.pdf,{},Second part (one scanned page).
spohn,Letter to the editor,pdf-journal-letter,pdf,journal-letter,browser_fulltext,True,https://www.fq.math.ca/Scanned/14-1/letter1.pdf,{},"Fibonacci Quarterly letter, one scanned page."
bumby,Incredible identities revisited,pdf-journal-1987,pdf,journal-1987,browser_fulltext,True,https://www.fq.math.ca/Scanned/25-1/bumby.pdf,{},"Fibonacci Quarterly article, three scanned pages."
osler,Cardan polynomials and the reduction of radicals,pdf-from-landing,pdf,cited-work,download_link_listed,True,https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals,"{""type"": ""landing"", ""url"": ""https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals"", ""wanted"": ""pdf""}",Author-uploaded full text advertised; actual direct link resolved only if freely returned without login.
oslercubic,An easy look at the cubic formula,pdf-university-mirror,pdf,university-mirror,search_indexed_pdf,True,https://math.ucr.edu/~res/math153-2019/osler-An_easy_look_at_the_cubic_formula.pdf,{},University-hosted version; title checked.
witula,"Cardano's formula, square roots, Chebyshev polynomials and radicals",pdf-author-upload,pdf,author-upload,search_indexed_pdf,True,https://www.researchgate.net/profile/Roman-Witula-2/publication/241071508_Cardano%27s_formula_square_roots_Chebyshev_polynomials_and_radicals/links/5d385ae992851cd04682a056/Cardanos-formula-square-roots-Chebyshev-polynomials-and-radicals.pdf,{},Public author-uploaded version on ResearchGate.
barbero,Identities involving zeros of Ramanujan and Shanks cubic polynomials,pdf,pdf,jis-2013,browser_fulltext,True,https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.pdf,{},"Official JIS PDF, 13 pages; the same article page links its LaTeX."
barbero,Identities involving zeros of Ramanujan and Shanks cubic polynomials,tex-source-from-publisher,source,jis-2013,download_link_listed,True,https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.html,"{""type"": ""landing"", ""url"": ""https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.html"", ""wanted"": ""source""}",Follow the publisher link labelled latex; source bytes have not been downloaded.
shevelev,On Ramanujan cubic polynomials,pdf,pdf,arxiv-0711.3420v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/0711.3420v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
shevelev,On Ramanujan cubic polynomials,tex-source,source,arxiv-0711.3420v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/0711.3420v1
https://arxiv.org/e-print/0711.3420v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
sury,Ramanujan's route to roots of roots,pdf,pdf,cited-work,candidate_unverified,False,https://www.isibang.ac.in/~sury/ramanujanday.pdf,{},Author URL supplied in reports; bytes not verified.
gkioulekas,On the denesting of nested square roots,pdf-author-submitted,pdf,author-submitted,browser_fulltext,True,https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf,{},"Author-hosted submitted version, 11 PDF pages."
dokmeci,Theorems on Field Extensions and Radical Denesting,pdf,pdf,cited-work,candidate_unverified,False,https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,{},MIT PRIMES URL supplied in reports; bytes not verified.
rahal,Introduction to Nested Radicals,pdf,pdf,cited-work,candidate_unverified,False,https://kurser.math.su.se/pluginfile.php/16103/mod_folder/content/0/2017/2017_17_report.pdf,{},University thesis URL supplied in reports; not the separate thesis-register PDF.
girstmair,Reducing radicals in the spirit of Euclid,pdf,pdf,arxiv-2004.06039v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2004.06039v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
girstmair,Reducing radicals in the spirit of Euclid,tex-source,source,arxiv-2004.06039v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/2004.06039v1
https://arxiv.org/e-print/2004.06039v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
cavallo,Denesting cubic radicals,pdf,pdf,arxiv-2403.04776v2,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2403.04776v2,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
cavallo,Denesting cubic radicals,tex-source,source,arxiv-2403.04776v2,repository_pdf_and_source_links,True,"https://arxiv.org/src/2403.04776v2
https://arxiv.org/e-print/2403.04776v2",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
tonien,Nested fifth root radical identities from elliptic curves,pdf-from-landing,pdf,cited-work,candidate_unverified,False,https://www.sciencedirect.com/science/article/pii/S2772827725000038,"{""type"": ""landing"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S2772827725000038"", ""wanted"": ""pdf""}",Official 2025 article record located. Full-text availability and direct download still need verification.
rit,Identity testing for radical expressions,pdf,pdf,arxiv-2202.07961v4,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2202.07961v4,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
rit,Identity testing for radical expressions,tex-source,source,arxiv-2202.07961v4,repository_pdf_and_source_links,True,"https://arxiv.org/src/2202.07961v4
https://arxiv.org/e-print/2202.07961v4",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
gaillard,On the order of power series and the sum of square roots problem,pdf,pdf,arxiv-2304.13605v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2304.13605v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
gaillard,On the order of power series and the sum of square roots problem,tex-source,source,arxiv-2304.13605v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/2304.13605v1
https://arxiv.org/e-print/2304.13605v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
allender,On the complexity of numerical analysis,pdf-eccc-2005-037,pdf,eccc-2005-037,search_indexed_pdf,True,"https://eccc.weizmann.ac.il/report/2005/037/download/
https://dagstuhl.sunsite.rwth-aachen.de/volltexte/2006/613/pdf/06111.MiltersenPeterBro.Paper.613.pdf",{},ECCC preprint; separate from the SIAM 2009 typeset version.
exactgeometry,Recent progress in exact geometric computation,pdf-hal-v1,pdf,hal-v1,search_indexed_fulltext,True,https://inria.hal.science/inria-00344355v1/document,{},HAL public repository version; not necessarily publisher pagination.
herschfeld,On infinite radicals,pdf-university-mirror,pdf,university-mirror,search_indexed_pdf,True,https://is.muni.cz/el/1431/jaro2015/M7400/um/2301294_147_251_4_41_15_08_2014_19_16.pdf,{},University-hosted scan.
borwein,Nested radicals,optional-publisher-candidate,pdf,cited-work,candidate_unverified,False,https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783,{},Publisher route; no confirmed freely downloadable copy found.
campbell,Variations on Ramanujan's nested radicals,pdf,pdf,arxiv-1511.06865v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/1511.06865v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
campbell,Variations on Ramanujan's nested radicals,tex-source,source,arxiv-1511.06865v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/1511.06865v1
https://arxiv.org/e-print/1511.06865v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
mitra,Generalization of Ramanujan's famous nested radicals to the nth root and their evaluation,pdf,pdf,arxiv-2404.04051v1,repository_pdf_and_source_links,True,https://arxiv.org/pdf/2404.04051v1,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
