folder,work_id,title,kind,research_status,tex_status,session_download_status,original_report_references,download_candidates,discovery_pages,notes
001_allender,allender,On the complexity of numerical analysis,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:allender; report-2:allender; report-3:allender,pdf | paper.pdf | https://eccc.weizmann.ac.il/report/2005/037/revision/1/download/,https://doi.org/10.1137/070697926,"ECCC revision of the preprint corresponding to the later SIAM article.
Session outcome: no external publication or original TeX source bytes were downloaded."
002_antipov,antipov,Ramanujan denesting formulas for cubic radicals,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:antipov; report-2:antipov; report-3:antipov,pdf | paper.pdf | https://www.mathnet.ru/php/getFT.phtml?jrnid=vspua&option_lang=rus&paperid=180&what=fullt,"https://doi.org/10.1134/S1063454120020028
https://doi.org/10.21638/11701/spbu01.2020.201","Russian original (2020, pp. 187–196); not the English translation (pp. 115–121). The language and edition differ.
Session outcome: no external publication or original TeX source bytes were downloaded."
003_barbero,barbero,Identities involving zeros of Ramanujan and Shanks cubic polynomials,paper_or_thesis,public_full_text_candidate_located,journal_LaTeX_link_located_and_arXiv_source_route_planned,not_downloaded_network_unavailable,report-1:barbero; report-2:barbero; report-3:barbero,"pdf | journal/paper.pdf | https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.pdf
resolve_tex | journal/source | https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.html
arxiv_pair | arxiv | https://arxiv.org/abs/1401.1474 | https://arxiv.org/pdf/1401.1474 | https://arxiv.org/src/1401.1474",https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.html,"PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
004_berndt_1997,berndt_1997,Ramanujan's association with radicals in India,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndt97; report-2:berndtchan1997; report-3:berndt97,pdf | OPTIONAL publisher_copy.pdf | https://www.tandfonline.com/doi/pdf/10.1080/00029890.1997.11990738,"https://faculty.math.illinois.edu/~berndt/publications.html
https://berndt.web.illinois.edu/publications.pdf
https://doi.org/10.1080/00029890.1997.11990738","The author publication list is only a finding aid. It is not a copy of the cited article and will not be saved as that article.
An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
005_berndt_1998,berndt_1998,Radicals and units in Ramanujan's work,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndt98; report-2:berndtchan1998; report-3:berndt98,pdf | paper.pdf | https://matwbn.icm.edu.pl/ksiazki/aa/aa87/aa8725.pdf,"https://eudml.org/doc/207210
https://doi.org/10.4064/aa-87-2-145-158",Session outcome: no external publication or original TeX source bytes were downloaded.
006_berndt_ii,berndt_ii,"Ramanujan's Notebooks, Part II",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:berndtII; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
007_berndt_iv,berndt_iv,"Ramanujan's Notebooks, Part IV",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndtIV; report-2:berndtIV; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
008_berndt_v,berndt_v,"Ramanujan's Notebooks, Part V",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndtV; report-2:berndtV; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
009_besicovitch,besicovitch,On the linear independence of fractional powers of integers,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:besicovitch; report-2:besicovitch; report-3:besicovitch,,https://academic.oup.com/jlms/article-abstract/s1-15/1/3/1015865,"No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
010_bfht,bfht,Decreasing the nesting depth of expressions involving square roots,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bfht; report-2:bfht; report-3:bfht,pdf | paper.pdf | https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf,"https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf
https://doi.org/10.1016/S0747-7171(85)80013-4",Session outcome: no external publication or original TeX source bytes were downloaded.
011_blomer_1991,blomer_1991,Computing sums of radicals in polynomial time,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer91; report-2:blomer1991; report-3:blomer91,pdf | OPTIONAL publisher_copy.pdf | https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf,https://doi.org/10.1109/SFCS.1991.185434,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
012_blomer_1992,blomer_1992,How to denest Ramanujan's nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer92; report-2:blomer1992; report-3:blomer92,pdf | OPTIONAL publisher_copy.pdf | https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf,https://doi.org/10.1109/SFCS.1992.267807,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
013_blomer_1998,blomer_1998,A probabilistic zero-test for expressions involving roots of rational numbers,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer98; report-2:blomerzero; report-3:blomer98,,"https://ti.inf.ethz.ch/ew/report/1998.html
https://doi.org/10.1007/3-540-68530-8_13","ETH technical report 299 is identified but its public binary was not located; no unrelated rehosted file was substituted.
No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
