folder,work_id,title,kind,research_status,tex_status,session_download_status,original_report_references,download_candidates,discovery_pages,notes
004_berndt_1997,berndt_1997,Ramanujan's association with radicals in India,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndt97; report-2:berndtchan1997; report-3:berndt97,pdf | OPTIONAL publisher_copy.pdf | https://www.tandfonline.com/doi/pdf/10.1080/00029890.1997.11990738,"https://faculty.math.illinois.edu/~berndt/publications.html
https://berndt.web.illinois.edu/publications.pdf
https://doi.org/10.1080/00029890.1997.11990738","The author publication list is only a finding aid. It is not a copy of the cited article and will not be saved as that article.
An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
006_berndt_ii,berndt_ii,"Ramanujan's Notebooks, Part II",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:berndtII; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
007_berndt_iv,berndt_iv,"Ramanujan's Notebooks, Part IV",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndtIV; report-2:berndtIV; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
008_berndt_v,berndt_v,"Ramanujan's Notebooks, Part V",book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:berndtV; report-2:berndtV; report-3:berndt,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
009_besicovitch,besicovitch,On the linear independence of fractional powers of integers,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:besicovitch; report-2:besicovitch; report-3:besicovitch,,https://academic.oup.com/jlms/article-abstract/s1-15/1/3/1015865,"No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
011_blomer_1991,blomer_1991,Computing sums of radicals in polynomial time,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer91; report-2:blomer1991; report-3:blomer91,pdf | OPTIONAL publisher_copy.pdf | https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf,https://doi.org/10.1109/SFCS.1991.185434,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
012_blomer_1992,blomer_1992,How to denest Ramanujan's nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer92; report-2:blomer1992; report-3:blomer92,pdf | OPTIONAL publisher_copy.pdf | https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf,https://doi.org/10.1109/SFCS.1992.267807,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
013_blomer_1998,blomer_1998,A probabilistic zero-test for expressions involving roots of rational numbers,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer98; report-2:blomerzero; report-3:blomer98,,"https://ti.inf.ethz.ch/ew/report/1998.html
https://doi.org/10.1007/3-540-68530-8_13","ETH technical report 299 is identified but its public binary was not located; no unrelated rehosted file was substituted.
No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
014_blomer_2000,blomer_2000,Denesting by bounded degree radicals,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer00; report-2:blomer2000; report-3:blomer2000,resolve_pdf | conference_1997/paper.pdf | https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals,"https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals
https://doi.org/10.1007/s004530010028
https://doi.org/10.1007/3-540-63397-9_5","The public-copy lead is the ESA 1997 conference version; the 2000 journal version remains a separate unresolved edition.
Session outcome: no external publication or original TeX source bytes were downloaded."
016_borwein,borwein,Nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:borwein; report-2:borweindebarra; report-3:borweinradicals,pdf | OPTIONAL publisher_copy.pdf | https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783,,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
