number,key,title,kind,status,included_files,source_urls,original_reference_keys,notes
1,besicovitch,Besicovitch (1940): On the linear independence of fractional powers of integers,literature,Full text unresolved — no file included,,https://londmathsoc.onlinelibrary.wiley.com/doi/10.1112/jlms/s1-15.1.3,"report-1:besicovitch, report-2:besicovitch, report-3:besicovitch",
2,mordell,Mordell (1953): On the linear independence of algebraic numbers,literature,Download pending — no file included,,https://msp.org/pjm/1953/3-3/pjm-v3-n3-p10-s.pdf,"report-1:mordell, report-2:mordell, report-3:mordell",
3,siegel,Siegel (1972): Algebraische Abhängigkeit von Wurzeln,literature,Full text unresolved — no file included,,https://eudml.org/doc/205133 | https://doi.org/10.4064/aa-21-1-59-64,"report-1:siegel, report-2:siegel, report-3:siegel",
4,kneser,Kneser (1975): Lineare Abhängigkeit von Wurzeln,literature,Download pending — no file included,,https://matwbn.icm.edu.pl/ksiazki/aa/aa26/aa26313.pdf | https://doi.org/10.4064/aa-26-3-307-308,"report-1:kneser, report-2:kneser, report-3:kneser",
5,fateman72,Fateman: Essays in Algebraic Simplification (thesis / MIT report),literature,Full text unresolved — no file included,,https://groups.google.com/g/alt.math.recreational/c/pfTnXYFZPtY,"report-1:fateman72, report-2:fatemanthesis, report-3:fateman",Bibliographic correction: the 1972 MIT technical report is based on a Harvard PhD thesis; the reports’ MIT-PhD wording should not be treated as verified.
6,caviness76,Caviness–Fateman (1976): Simplification of radical expressions,literature,Download pending — no file included,,https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,"report-1:caviness76, report-2:cavinessfateman, report-3:caviness",
7,zippel77,Zippel (1977): Simplification of Radicals with Applications to Solving Polynomial Equations,literature,Full text unresolved — no file included,,https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c,"report-1:zippel77, report-2:zippelthesis, report-3:zippel77",
8,lll,Lenstra–Lenstra–Lovász (1982): Factoring polynomials with rational coefficients,literature,Download pending — no file included,,https://ir.cwi.nl/pub/9304/9304D.pdf | https://doi.org/10.1007/BF01457454,"report-1:lll, report-2:lll, report-3:lll",
9,bfht,Borodin–Fagin–Hopcroft–Tompa (1985): Decreasing the nesting depth of expressions involving square roots,literature,2 included files,papers/009_bfht/symb85.pdf | papers/009_bfht/ocr_transcription/symb85_ocr.tex,https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf | https://doi.org/10.1016/S0747-7171(85)80013-4,"report-1:bfht, report-2:bfht, report-3:bfht",
10,zippel85,Zippel (1985): Simplification of expressions involving radicals,literature,Full text unresolved — no file included,,https://doi.org/10.1016/S0747-7171(85)80014-6,"report-1:zippel85, report-2:zippel, report-3:zippel85",
11,landauMiller,Landau–Miller (1985): Solvability by radicals is in polynomial time,literature,Download pending — no file included,,https://www.cs.cmu.edu/~glmiller/Publications/Papers/LaMi85.pdf | https://doi.org/10.1016/0022-0000(85)90013-3 | https://doi.org/10.1145/800061.808743,"report-1:landauMiller, report-2:landaumiller, report-3:landaumiller",
12,landau92,Landau: Simplification of nested radicals (FOCS 1989 / SIAM 1992),literature,2 included files,papers/012_landau92/landau1989.pdf | papers/012_landau92/ocr_transcription/landau1989_ocr.tex,https://fletcher.tufts.edu/research/research-publications/simplification-nested-radicals-0 | https://www.researchgate.net/publication/2629046_Simplification_of_Nested_Radicals | https://epubs.siam.org/doi/10.1137/0221009 | https://doi.org/10.1137/0221009 | https://doi.org/10.1109/SFCS.1989.63496,"report-1:landau92, report-2:landau, report-3:landau","The recovered six-page PDF is the FOCS 1989 extended abstract, NOT the 26-page SIAM 1992 journal article. The journal article remains missing."
13,landauNote,Landau (1992): A note on ‘Zippel denesting’,literature,Download pending — no file included,,https://web.cs.umass.edu/publication/docs/1990/UM-CS-1990-120.pdf | https://fletcher.tufts.edu/research/research-publications/note-zippel-denesting | https://doi.org/10.1016/0747-7171(92)90004-N,"report-1:landauNote, report-2:landaunote, report-3:landauzippel",
14,horng90,Horng–Huang (1990): Simplifying nested radicals and solving polynomials in minimum depth,literature,Full text unresolved — no file included,,https://ieeexplore.ieee.org/document/89607/ | https://doi.org/10.1090/S0025-5718-99-01060-1,"report-1:horng90, report-2:horng1990, report-3:hornghuang",
15,horngThesis,Horng (1990): Simplifying Nested Radicals (PhD thesis),literature,Full text unresolved — no file included,,https://doi.org/10.5555/142931,"report-1:horngThesis, report-3:horngthesis",
16,bloemer91,Blömer (1991): Computing sums of radicals in polynomial time,literature,Full text unresolved — no file included,,https://doi.org/10.1109/SFCS.1991.185434,"report-1:bloemer91, report-2:blomer1991, report-3:blomer91",
17,bloemer92,Blömer (1992): How to denest Ramanujan’s nested radicals,literature,Full text unresolved — no file included,,https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf | https://doi.org/10.1109/SFCS.1992.267807,"report-1:bloemer92, report-2:blomer1992, report-3:blomer92",
18,bloemer93,Blömer (1993): Simplifying Expressions Involving Radicals (PhD thesis),literature,Download pending — no file included,,https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf,"report-1:bloemer93, report-2:blomerthesis, report-3:blomerthesis",
19,bloemer00,Blömer (1997 / 2000): Denesting by bounded degree radicals,literature,Full text unresolved — no file included,,https://www.researchgate.net/publication/225210864_Denesting_by_bounded_degree_radicals | https://doi.org/10.1007/s004530010028 | https://doi.org/10.1007/3-540-63397-9_5,"report-1:bloemer00, report-2:blomer2000, report-3:blomer2000",
