Kernel: 15.0.1 for Microsoft Windows (64-bit) (July 2, 2026)
Review 8  package C:/RadicalDenest/.claude/worktrees/strad-denesting-analysis-6158e6/src/code-review/review-8/code/StradFixed3.wl  SHA-256 1cc3241060238b99b13715b6dd37b4dc9a3ce44b6599b94ef5300504fdf42750
load: loaded  messages while loading: {}
public symbols: {CertifiedEqualQ, DenestCore, DenestRadicals, DenestReport, EqualityStatus, ExactAlgebraicQ, Factorc, RadicalCost, RadicalDepth, RadicalExpressionQ, RationalizeDenominator, Strad}
gaussian-type -> Success   (Quantity[0., Seconds] s)
rational-root-type -> Success   (Quantity[0., Seconds] s)
transcendental-root-rejected -> Success   (Quantity[0., Seconds] s)
parameterized-root-rejected -> Success   (Quantity[0., Seconds] s)
algebraic-coefficient-root -> Success   (Quantity[0.01, Seconds] s)
algebraic-number-type -> Success   (Quantity[0., Seconds] s)
pi-rejected -> Success   (Quantity[0., Seconds] s)
inexact-rejected -> Success   (Quantity[0., Seconds] s)
infinity-rejected -> Success   (Quantity[0., Seconds] s)
opaque-not-output -> Success   (Quantity[0., Seconds] s)
exact-positive-equality -> Success   (Quantity[0.01, Seconds] s)
conjugates-distinguished -> Success   (Quantity[0., Seconds] s)
tiny-exact-nonzero -> Success   (Quantity[0., Seconds] s)
unsupported-reflexive-pair -> Success   (Quantity[0., Seconds] s)
exact-status-independent-of-prefilter -> Success   (Quantity[0.01, Seconds] s)
direct -> Success   (Quantity[0.04, Seconds] s)
two-surd -> Success   (Quantity[0.01, Seconds] s)
indirect -> Success   (Quantity[0.01, Seconds] s)
indirect-rational -> Success   (Quantity[0.02, Seconds] s)
cubic -> Success   (Quantity[0.01, Seconds] s)
negative-fifth -> Success   (Quantity[0.07, Seconds] s)
negative-seventh -> Success   (Quantity[0.1, Seconds] s)
negative-ninth -> Success   (Quantity[0.07, Seconds] s)
negative-stage-preserves-incumbent -> Success   (Quantity[0., Seconds] s)
raw-index-reduction-without-recursion -> Success   (Quantity[0.03, Seconds] s)
honsbeek-rational-summand -> Success   (Quantity[0.02, Seconds] s)
honsbeek-classical -> Success   (Quantity[0.09, Seconds] s)
coset-enumeration -> Success   (Quantity[0., Seconds] s)
coset-coefficient-solver -> Success   (Quantity[0.04, Seconds] s)
opaque-depth -> Success   (Quantity[0., Seconds] s)
opaque-node-count -> Success   (Quantity[0., Seconds] s)
inverse-certificate -> Success   (Quantity[0., Seconds] s)
gaussian-denominator -> Success   (Quantity[0., Seconds] s)
inexact-conservative-default -> Success   (Quantity[0., Seconds] s)
mixed-list-default -> Success   (Quantity[0., Seconds] s)
mixed-list-opt-in -> Success   (Quantity[0.01, Seconds] s)
hold-not-traversed -> Success   (Quantity[0., Seconds] s)
unknown-head-not-traversed -> Success   (Quantity[0., Seconds] s)
bad-solver-cannot-cross-host-boundary -> Success   (Quantity[0.01, Seconds] s)
ambient-assumptions-ignored -> Success   (Quantity[0., Seconds] s)
unknown-option -> Success   (Quantity[0., Seconds] s)
malformed-option -> Success   (Quantity[0., Seconds] s)
infinite-cap -> Success   (Quantity[0., Seconds] s)
negative-trials -> Success   (Quantity[0., Seconds] s)
solve-degree-limit -> Success   (Quantity[0., Seconds] s)
invalid-list-policy -> Success   (Quantity[0., Seconds] s)
zero-budget -> Success   (Quantity[0., Seconds] s)
entry-point-defaults -> Success   (Quantity[0., Seconds] s)
report-scopes -> Success   (Quantity[0.01, Seconds] s)
independent-list-progress -> Success   (Quantity[0., Seconds] s)
failed-search-not-cached -> Success   (Quantity[0., Seconds] s)
missing-input -> Success   (Quantity[0., Seconds] s)
tests: 52  succeeded: 52  failed: 0  time: Quantity[0.6000000000000001, Seconds]
DONE
