Kernel: 15.0.1 for Microsoft Windows (64-bit) (July 2, 2026)
Review 9  package C:/RadicalDenest/.claude/worktrees/strad-denesting-analysis-6158e6/src/code-review/review-9/StradFixed3.wl  SHA-256 fadd805f106055ae90fa4f538f9bc251fc980cd4435e9bff4178f3c5e28cd384
load: loaded  messages while loading: {}
public symbols: {CertifiedEqualQ, DenestCore, DenestRadicals, DenestReport, EqualityStatus, ExactAlgebraicQ, Factorc, RadicalCost, RadicalDepth, RadicalExpressionQ, RationalizeDenominator, Strad}
domain-gaussian -> Success   (Quantity[0., Seconds] s)
domain-rational-polynomial-root -> Success   (Quantity[0., Seconds] s)
domain-transcendental-coefficient-root -> Success   (Quantity[0., Seconds] s)
domain-parameter-root -> Success   (Quantity[0., Seconds] s)
domain-Pi -> Success   (Quantity[0., Seconds] s)
domain-inexact -> Success   (Quantity[0., Seconds] s)
domain-infinite -> Success   (Quantity[0., Seconds] s)
domain-algebraic-number -> Success   (Quantity[0., Seconds] s)
equality-exact -> Success   (Quantity[0.01, Seconds] s)
equality-wrong-branch -> Success   (Quantity[0., Seconds] s)
equality-domain-before-SameQ -> Success   (Quantity[0., Seconds] s)
equality-noncanonical-residual -> Success   (Quantity[0., Seconds] s)
cost-gaussian-bits -> Success   (Quantity[0., Seconds] s)
cost-opaque-depth -> Success   (Quantity[0., Seconds] s)
cost-opaque-pruning -> Success   (Quantity[0., Seconds] s)
unknown-option -> Success   (Quantity[0., Seconds] s)
nonrule-option -> Success   (Quantity[0., Seconds] s)
negative-limit -> Success   (Quantity[0., Seconds] s)
character-rank-limit -> Success   (Quantity[0., Seconds] s)
zero-budget-status -> Success   (Quantity[0., Seconds] s)
zero-budget-no-post-cost -> Success   (Quantity[0., Seconds] s)
direct-quadratic -> Success   (Quantity[0.02, Seconds] s)
quadratic-negative-coefficient -> Success   (Quantity[0.01, Seconds] s)
indirect-quartic -> Success   (Quantity[0.01, Seconds] s)
cubic-trace-norm -> Success   (Quantity[0.01, Seconds] s)
principal-negative-cube -> Success   (Quantity[0.02, Seconds] s)
fifth-root-Dickson -> Success   (Quantity[0.01, Seconds] s)
character-missing-coset -> Success   (Quantity[0.25, Seconds] s)
character-depth-reduction -> Failure   actual: HoldForm[2]   (Quantity[0.23, Seconds] s)
denominator-inverse -> Success   (Quantity[0., Seconds] s)
held-host-untouched -> Success   (Quantity[0., Seconds] s)
unknown-host-untouched -> Success   (Quantity[0., Seconds] s)
symbolic-host-congruence -> Success   (Quantity[0.01, Seconds] s)
incorrect-callback-cannot-override -> Success   (Quantity[0.01, Seconds] s)
index-reduction-without-recursive-progress -> Success   (Quantity[0.02, Seconds] s)
partial-negative-improvement-survives-later-noop -> Failure   actual: HoldForm[False]   (Quantity[0., Seconds] s)
no-negative-cache -> Success   (Quantity[0., Seconds] s)
in-progress-cycle-cut -> Success   (Quantity[0., Seconds] s)
numeric-diagnostic-never-suppresses-exact-proof -> Success   (Quantity[0., Seconds] s)
every-reported-proposal-recertifies -> Success   (Quantity[0.01, Seconds] s)
tests: 40  succeeded: 38  failed: 2  time: Quantity[0.6000000000000001, Seconds]
DONE
